Data,Migraine,Betulaceae,Urticaceae,Ambrosia,Fraxinus excelsior/ornus,UniLesson,,,,,,
21/10/2017,0,0,0,0,0,0,,,,,,
22/10/2017,0,0,1,0,0,0,,,,,,
23/10/2017,0,0,"3,52",0,0,0,,,,,,
24/10/2017,0,0,"1,52",0,0,0,,,,,,
25/10/2017,0,0,"5,52","0,52",0,2,,,,,,
26/10/2017,0,0,"7,52",0,0,2,,,,,,
27/10/2017,1,0,"6,52",0,0,2,,,,,,
28/10/2017,0,0,"5,52","0,52",0,0,,,,,,
29/10/2017,0,0,"2,52",0,0,0,,,,,,
30/10/2017,0,0,0,0,0,0,,,,,,
31/10/2017,0,0,0,0,0,0,,,,,,
01/11/2017,0,0,0,0,0,0,,,,,,
02/11/2017,0,0,0,"0,48",0,3,,,,,,
03/11/2017,0,0,0,0,0,2,,,,,,
04/11/2017,0,0,0,0,0,0,,,,,,
05/11/2017,0,0,0,0,0,0,,,,,,
09/04/2018,0,519,0,0,40,0,,,,,,
10/04/2018,0,35,0,0,5,0,,,,,,
11/04/2018,0,12,0,0,6,0,,,,,,
12/04/2018,1,16,0,0,0,2,,,,,,
13/04/2018,0,13,0,0,13,0,,,,,,
14/04/2018,0,176,0,0,31,0,,,,,,
15/04/2018,0,1038,0,0,58,0,,,,,,
16/04/2018,0,256,,0,39,0,,,,,,
17/04/2018,0,104,2,0,75,0,,,,,,
18/04/2018,0,86,,0,30,0,,,,,,
19/04/2018,0,56,7,0,84,0,,,,,,
20/04/2018,0,84,5,0,63,0,,,,,,
21/04/2018,0,122,16,0,36,0,,,,,,
22/04/2018,0,15,1,0,21,0,,,,,,
30/04/2018,0,"4,8",0,0,0,0,,,,,,
01/05/2018,1,"20,64","0,48",0,0,0,,,,,,
02/05/2018,0,"6,72","0,96",0,0,4,,,,,,
03/05/2018,0,"0,48","1,92",0,0,2,,,,,,
04/05/2018,0,"1,92","6,72",0,0,0,,,,,,
05/05/2018,0,"1,44","3,84",0,0,0,,,,,,
06/05/2018,0,0,"2,88",0,0,0,,,,,,
07/05/2018,0,"0,48",0,0,"0,96",0,,,,,,
08/05/2018,0,0,0,0,"3,84",2,,,,,,
09/05/2018,0,0,"0,48",0,"0,48",4,,,,,,
10/05/2018,0,0,"0,48",0,"0,48",2,,,,,,
11/05/2018,0,0,"2,88",0,0,0,,,,,,
12/05/2018,0,0,"1,44",0,"2,88",0,,,,,,
13/05/2018,0,0,"3,84",0,"2,88",0,,,,,,
14/05/2018,0,0,0,0,0,0,,,,,,
15/05/2018,1,0,"0,48",0,0,2,,,,,,
16/05/2018,0,"0,48","0,96",0,0,4,,,,,,
17/05/2018,1,0,0,0,0,2,,,,,,
18/05/2018,0,0,0,0,0,0,,,,,,
19/05/2018,0,0,0,0,0,0,,,,,,
20/05/2018,0,0,0,0,0,0,,,,,,
28/05/2018,0,0,"0,96",0,0,0,,,,,,
29/05/2018,0,0,,0,0,2,,,,,,
30/05/2018,0,0,"1,92",0,0,4,,,,,,
31/05/2018,0,0,"2,88",0,0,2,,,,,,
01/06/2018,0,0,0,0,0,0,,,,,,
02/06/2018,0,0,0,0,0,0,,,,,,
03/06/2018,0,0,0,0,0,0,,,,,,
04/06/2018,0,0,0,0,0,0,,,,,,
05/06/2018,0,0,0,0,0,2,,,,,,
06/06/2018,0,0,"0,96",0,0,4,,,,,,
07/06/2018,0,0,"1,44",0,0,2,,,,,,
08/06/2018,0,0,"1,44",0,0,0,,,,,,
09/06/2018,0,0,"4,32",0,0,0,,,,,,
10/06/2018,0,"1,44","5,76",0,0,0,,,,,,
11/06/2018,0,"0,96","0,48",0,0,"1,5",,,,,,
12/06/2018,0,0,0,0,0,0,,,,,,
13/06/2018,0,"0,48","3,36",0,0,5,,,,,,
14/06/2018,0,0,"2,4",0,0,0,,,,,,
15/06/2018,0,0,"1,44",0,0,0,,,,,,
16/06/2018,0,0,"0,48",0,0,0,,,,,,
18/06/2018,0,0,6,0,0,0,,,,,,
